Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
24/02/2024 06:00:00,,,94.02,3.5075,0.0077,1.153,10.78,1.609,12.389,,,96.004,3.7342,0.0133,0.7135,4.389,2.299,6.688
24/02/2024 04:00:00,93.971,85.05,94.151,3.6669,0.0087,1.124,10.744,2.975,13.719,94.892,85.822,94.805,3.7679,0.0118,0.9793,6.393,3.562,9.955
24/02/2024 02:00:00,,,94.328,3.527,0.0098,1.085,6.541,1.551,8.092,,,95.005,3.9223,0.0139,0.935,6.158,1.908,8.066
24/02/2024 00:00:00,93.606,84.266,93.745,3.5474,0.0116,1.214,9.541,1.201,10.742,95.644,85.209,95.052,4.0594,0.0147,0.9244,5.51,1.224,6.734
23/02/2024 22:00:00,,,94.644,3.4846,0.0084,1.015,7.11,0.765,7.875,,,95.442,4.0771,0.0129,0.838,3.344,0.334,3.678
23/02/2024 20:00:00,93.865,84.959,94.156,3.3972,0.0113,1.123,12.547,2.06,14.607,94.72,85.512,94.869,4.1202,0.0125,0.965,3.063,0.901,3.964
23/02/2024 18:00:00,,,94.328,3.768,0.0147,1.085,14.152,8.865,23.017,,,95.178,4.154,0.0136,0.8965,9.898,1.479,11.377
23/02/2024 16:00:00,95.174,85.716,94.764,3.3827,0.0108,0.9882,6.037,0.232,6.269,95.472,85.721,95.385,3.9996,0.0138,0.8508,6.053,0.883,6.936
23/02/2024 14:00:00,,,94.21,3.6846,0.0136,1.111,5.628,0.433,6.061,,,94.499,4.2083,0.0146,1.047,8.858,2.854,11.712
23/02/2024 12:00:00,95.052,85.197,94.802,3.6493,0.0089,0.98,9.711,1.05,10.761,94.436,84.717,94.039,4.2427,0.0125,1.149,7.263,1.376,8.639
23/02/2024 10:00:00,,,94.851,3.6778,0.007,0.9691,11.524,0.857,12.381,,,94.422,4.2274,0.011,1.064,8.861,2.532,11.393
23/02/2024 08:00:00,93.298,84.608,93.763,3.682,0.01,1.21,10.21,1.403,11.613,94.818,85.602,95.478,4.1854,0.0133,0.8301,3.701,0.861,4.562
23/02/2024 06:00:00,,,93.944,3.6198,0.0076,1.17,6.571,0.81,7.381,,,92.824,3.6876,0.0116,1.418,5.354,0.777,6.131
23/02/2024 04:00:00,93.632,84.812,94.422,3.5585,0.0087,1.064,7.684,1.454,9.138,93.114,84.891,93.822,3.7401,0.0117,1.197,3.916,1.528,5.444
23/02/2024 02:00:00,,,94.445,3.7378,0.0094,1.059,6.147,1.212,7.359,,,93.384,3.6187,0.0133,1.294,2.547,0.443,2.99
23/02/2024 00:00:00,93.913,84.862,94.309,3.5476,0.0086,1.089,7.254,2.938,10.192,92.574,84.802,93.014,3.5775,0.0142,1.376,3.374,1.534,4.908
22/02/2024 22:00:00,,,93.578,3.5406,0.0121,1.251,8.915,1.55,10.465,,,93.37,3.1972,0.0122,1.297,4.682,0.78,5.462
22/02/2024 20:00:00,93.668,84.81,94.111,3.5177,0.0093,1.133,13.727,4.742,18.469,92.786,85.022,93.781,3.4293,0.0154,1.362,0.956,0.41,1.366
22/02/2024 18:00:00,,,94.773,3.6129,0.0139,0.9863,13.357,3.251,16.608,,,94.513,3.9122,0.0164,1.044,5.754,1.279,7.033
22/02/2024 16:00:00,93.031,84.755,93.479,3.5933,0.0121,1.273,1.175,0.261,1.436,93.403,85.218,93.632,3.3416,0.0159,1.239,3.872,0.553,4.425
22/02/2024 14:00:00,,,93.885,3.3565,0.0134,1.183,10.362,2.632,12.994,,,94.834,3.4299,0.0167,0.9727,6.087,1.913,8
22/02/2024 12:00:00,93.018,85.084,93.668,3.374,0.008,1.231,10.196,3.248,13.444,94.336,85.519,94.866,3.4208,0.011,0.9658,6.967,1.286,8.253
22/02/2024 10:00:00,,,93.298,3.3091,0.0091,1.313,6.939,3.238,10.177,,,,,,,,,
